Nama Kecamatan,Total Terkonfirmasi,Total Dalam Perawatan,Total Sembuh,Total Meninggal
CIMANGGIS,4.353,922,3.383,48
TAPOS,3.842,885,2.909,48
BEJI,3.000,839,2.132,29
LIMO,1.246,293,938,15
CINERE,1.247,414,817,16
CIMAHI SELATAN,1.397,26,1.355,16
CIMAHI TENGAH,716,5,695,16
CIMAHI UTARA,1.137,35,1.082,20
KAWALU,286,54,231,1
TAMANSARI,198,26,167,5
CIBEUREUM,798,56,740,2
PURBARATU,170,13,156,1
TAWANG,479,51,424,4
CIHIDEUNG,396,42,346,8
MANGKUBUMI,403,70,331,2
INDIHIANG,245,41,202,2
BUNGURSARI,206,39,166,1
CIPEDES,825,452,371,2
BANJAR,213,21,191,1
PURWAHARJA,132,8,119,5
PATARUMAN,147,18,122,7
LANGENSARI,142,19,112,11
